,Datetime,RA,DEC,Lon,Lat,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start
7704,2024-11-17 00:00:00,67.59108333333333,26.52883333333333,69.99052761401308,4.63314900464328,-12.437,3.742,0.00244353082582,0.0478727,164.1097 /L,15.8519,36.465032,79.219083,2.5505113,n.a.,n.a.,27734400.0
3164,2024-05-11 20:00:00,100.16516666666666,28.28147222222222,98.97971543294963,5.158452251474089,-8.056,6.080,0.00257191711354,0.065201,47.9182 /T,131.9734,32.803604,93.67388,3.6544047,n.a.,n.a.,11390400.0
569,2024-01-24 17:00:00,114.83825,26.543083333333335,112.16313926687957,4.994522128269724,-12.342,3.658,0.00266282955515,0.0316395,167.3014 /T,12.6644,30.796433,100.11507,1.8338078,n.a.,n.a.,2048400.0
511,2024-01-22 07:00:00,80.75245833333334,27.63775,81.79191843538617,4.461773084981709,-11.672,4.249,0.00261262956607,0.0400169,140.1868 /T,39.7158,31.871426,84.186089,2.2811894,n.a.,n.a.,1839600.0
8719,2024-12-29 07:00:00,256.53041666666667,-26.2465,257.9108401548795,-3.370169520787516,-5.963,6.312,0.00262089675561,-0.045821,20.2204 /L,159.7265,31.753028,96.316208,-2.613412,n.a.,n.a.,31388400.0
841,2024-02-05 01:00:00,247.43525,-24.108416666666667,249.47145240913733,-2.262130452358222,-9.115,5.661,0.00255731421119,-0.0722884,65.6773 /L,114.187,33.069242,101.7747,-4.047369,n.a.,n.a.,3027600.0
6072,2024-09-10 00:00:00,240.02991666666668,-24.91986111111111,242.9724584407052,-4.247778306159262,-9.454,5.507,0.00265502475279,-0.0496524,75.6145 /T,104.2392,30.66558,104.2654,-2.889657,n.a.,n.a.,21859200.0
3639,2024-05-31 15:00:00,353.64995833333336,-3.216277777777778,352.89235370186645,-0.43261724226729475,-9.702,5.475,0.00246731289487,-0.0134913,78.0315 /L,101.832,35.578156,61.925224,-0.729644,n.a.,n.a.,13100400.0
5594,2024-08-21 02:00:00,348.33258333333333,-5.042111111111111,347.2974783334834,-0.02890047592086257,-12.352,3.851,0.00240777796182,-0.002578,161.5283 /L,18.4288,37.54314,62.167956,-0.129837,n.a.,n.a.,20138400.0
6500,2024-09-27 20:00:00,134.33670833333332,21.785500000000003,130.6074899369601,4.376813080190528,-8.389,5.930,0.00265922753693,0.0421286,54.3685 /L,125.5076,30.659268,109.27492,2.4445468,n.a.,n.a.,23400000.0
101,2024-01-05 05:00:00,203.70779166666668,-9.627305555555555,205.47655349944935,0.24315736743579194,-9.62,5.404,0.00265382771851,-0.049911,78.2422 /L,101.6062,30.670666,116.33015,-2.905211,n.a.,n.a.,363600.0
2264,2024-04-04 08:00:00,317.06733333333335,-20.65405555555556,313.3675045741542,-4.019467366115894,-8.962,5.776,0.00245948794843,-0.0540422,61.6346 /L,118.2411,35.79912,70.439264,-2.909583,n.a.,n.a.,8150400.0
5597,2024-08-21 05:00:00,350.002375,-5.920444444444445,348.4845574947986,-1.4869819013549428,-12.308,3.891,0.00240768066502,-0.0001201,159.7984 /L,20.1548,37.541355,61.981181,-0.001013,n.a.,n.a.,20149200.0
1455,2024-03-01 15:00:00,224.49379166666668,-18.203388888888888,227.32163193715724,-1.2484748595527972,-10.864,4.771,0.00265037904316,-0.0479751,113.3675 /L,66.4921,30.798555,110.82216,-2.781441,n.a.,n.a.,5238000.0
885,2024-02-06 21:00:00,275.49620833333336,-27.695833333333333,274.8693019227227,-4.349559415599474,-7.84,6.133,0.00248133922562,-0.0679261,42.6062 /L,137.2958,35.241328,88.751547,-3.681132,n.a.,n.a.,3186000.0
6562,2024-09-30 10:00:00,164.01920833333332,9.193722222222222,161.75048398141647,2.2051956029247552,-6.341,6.382,0.00270443549283,0.0189136,25.7309 /L,154.2016,29.796466,117.35301,1.1073191,n.a.,n.a.,23623200.0
4423,2024-07-03 07:00:00,65.84395833333333,25.86527777777778,68.33282183409521,4.225102434734489,-7.074,6.351,0.00252610397872,0.0333883,33.4162 /L,146.505,34.119707,78.041803,1.8308428,n.a.,n.a.,15922800.0
6495,2024-09-27 15:00:00,131.718,22.605111111111114,128.04376028980735,4.505437697286548,-8.527,5.881,0.00265404264287,0.0440599,56.7241 /L,123.1487,30.766785,108.29066,2.5528499,n.a.,n.a.,23382000.0
5717,2024-08-26 05:00:00,57.655458333333335,24.433777777777777,60.76404095729702,4.217932005784506,-10.237,5.196,0.00251193538316,0.0555096,92.3440 /L,87.5137,34.274071,74.743037,3.053481,n.a.,n.a.,20581200.0
1735,2024-03-13 07:00:00,30.818791666666666,14.276833333333334,33.630314083134074,1.6482442942926891,-7.735,6.184,0.00244133635689,0.0587131,40.7998 /T,139.1083,36.41494,65.095833,3.1230588,n.a.,n.a.,6246000.0
