,Datetime,RA,DEC,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start,Month,Year,Day,pca,residuals
7220,2024-10-27 20:00:00,165.74045833333332,8.26988888888889,-8.169,5.984,0.0027016089227,0.0225528,50.8987 /L,128.9801,29.718372,117.57016,1.327694,n.a.,n.a.,25992000.0,10,2024,27,0.2852008867776599,2.879110908183321e-05
1935,2024-03-21 15:00:00,145.22079166666666,18.39875,-11.567,4.278,0.00270540467276,0.0188434,140.0674 /T,39.8328,29.703616,112.30457,1.1157415,n.a.,n.a.,6966000.0,3,2024,21,0.665796058907603,4.418526570056569e-05
5191,2024-08-04 07:00:00,133.73095833333332,21.86702777777778,-4.3,4.816,0.00264906727666,0.0360818,4.7511 /L,175.2364,31.113183,108.83025,2.0685275,n.a.,n.a.,18687600.0,8,2024,4,0.8731410968390142,-1.92696204651642e-06
3583,2024-05-29 07:00:00,323.221125,-17.065,-10.798,4.907,0.00249430487504,-0.0255931,108.5823 /L,71.2843,34.828679,68.303229,-1.394368,n.a.,n.a.,12898800.0,5,2024,29,-2.4985834450273066,1.8932932743921313e-05
7188,2024-10-26 12:00:00,151.10233333333332,15.311416666666668,-8.989,5.682,0.00267806619209,0.0386926,65.5037 /L,114.3556,30.165465,114.59975,2.2667777,n.a.,n.a.,25876800.0,10,2024,26,0.5562244322390076,1.2556041753441355e-05
2338,2024-04-07 10:00:00,359.4818333333333,-0.13077777777777774,-6.004,6.330,0.00239934058439,-0.0067775,19.0196 /L,160.9353,37.798667,61.477827,-0.359606,n.a.,n.a.,8416800.0,4,2024,7,-3.0799771547520636,2.790046951910716e-05
4010,2024-06-16 02:00:00,194.03541666666666,-5.727416666666667,-10.68,4.882,0.00269167199703,-0.0216752,110.2550 /T,69.6026,29.866312,117.72975,-1.275836,n.a.,n.a.,14436000.0,6,2024,16,-0.23968865975866205,1.8088671498418807e-05
1367,2024-02-26 23:00:00,183.95070833333332,0.5525833333333334,-11.934,3.982,0.00271176341592,-0.0110664,153.6285 /L,26.3021,29.636848,118.45073,-0.647546,n.a.,n.a.,4921200.0,2,2024,26,-0.04923169490462501,3.6416771269255546e-05
1969,2024-03-23 01:00:00,161.04845833333334,11.452,-11.965,3.956,0.00271509321638,0.0051863,155.4435 /T,24.4916,29.571807,116.38316,0.3113846,n.a.,n.a.,7088400.0,3,2024,23,0.37449388495501834,4.416303059365332e-05
1699,2024-03-11 19:00:00,10.659625,4.192111111111111,-6.118,6.333,0.0024005487454,0.0335174,20.0795 /T,159.873,37.746252,61.778795,1.7474358,n.a.,n.a.,6116400.0,3,2024,11,2.9505964411490035,4.106082642819052e-06
7778,2024-11-20 02:00:00,115.88654166666667,26.238472222222224,-11.28,4.558,0.00255693651063,0.0705576,124.6002 /L,55.2781,33.131784,101.7883,3.9448749,n.a.,n.a.,28000800.0,11,2024,20,1.1925042545810922,-7.29181400195766e-05
5570,2024-08-20 02:00:00,334.7115416666667,-12.305527777777778,-12.687,3.536,0.00241499115817,-0.0223552,174.6871 /L,5.3004,37.342965,64.602714,-1.169214,n.a.,n.a.,20052000.0,8,2024,20,-2.684405292041298,-2.9518142574357347e-05
8135,2024-12-04 23:00:00,299.71375,-24.645555555555553,-7.857,6.105,0.00256856878922,-0.0383929,43.9473 /T,135.949,32.957282,76.468573,-2.152918,n.a.,n.a.,29286000.0,12,2024,4,-2.112780717561271,3.618688594079827e-05
4483,2024-07-05 19:00:00,103.42795833333334,27.886583333333334,-4.422,5.023,0.00258288587957,0.0439768,5.3887 /L,174.5976,32.717465,95.590587,2.4595664,n.a.,n.a.,16138800.0,7,2024,5,1.4118023484463085,-2.8667429382352172e-05
1820,2024-03-16 20:00:00,81.31695833333333,28.047944444444447,-9.969,5.282,0.00258201673615,0.067399,85.9449 /T,93.9068,32.40403,84.62924,3.812351,n.a.,n.a.,6552000.0,3,2024,16,1.7937710514079364,9.699856954431194e-06
5708,2024-08-25 20:00:00,52.24495833333334,22.967888888888886,-10.419,5.108,0.00249997010127,0.0549101,97.1420 /L,82.7174,34.606839,72.557565,3.00634,n.a.,n.a.,20548800.0,8,2024,25,2.282140875223941,-8.560153502267659e-06
6333,2024-09-20 21:00:00,33.787,16.42930555555556,-11.814,4.278,0.00242115929072,0.0463522,140.8994 /L,39.0138,37.031446,66.207337,2.4534028,n.a.,n.a.,22798800.0,9,2024,20,2.5835380991870305,-4.037736121560286e-05
3164,2024-05-11 20:00:00,100.16516666666666,28.28147222222222,-8.056,6.080,0.00257191711354,0.065201,47.9182 /T,131.9734,32.803604,93.67388,3.6544047,n.a.,n.a.,11390400.0,5,2024,11,1.469138414538182,-3.434299684311861e-05
3191,2024-05-12 23:00:00,116.38320833333333,26.43013888888889,-8.792,5.804,0.00261305341009,0.0604282,61.3183 /T,118.5517,31.715579,101.16016,3.4493173,n.a.,n.a.,11487600.0,5,2024,12,1.184435417916256,-1.7415829898997405e-05
4459,2024-07-04 19:00:00,88.449,28.325055555555554,-5.459,6.240,0.00255834350065,0.0407145,15.1096 /L,164.8526,33.330567,88.488586,2.2565908,n.a.,n.a.,16052400.0,7,2024,4,1.6714261105635384,-2.7558700994785232e-05
6582,2024-10-01 06:00:00,172.84241666666668,4.556472222222222,-5.514,6.266,0.00271189236126,0.0121356,16.6387 /L,163.3166,29.668793,118.39084,0.7094931,n.a.,n.a.,23695200.0,10,2024,1,0.15293125229849278,3.721750793582272e-05
7529,2024-11-09 17:00:00,326.828625,-16.96875,-10.413,5.088,0.00250514661245,-0.0553752,95.8498 /T,84.006,34.460723,66.599852,-3.037075,n.a.,n.a.,27104400.0,11,2024,9,-2.5605823980271203,3.982590276103287e-05
1833,2024-03-17 09:00:00,89.21029166666666,28.492,-10.195,5.162,0.00260252329153,0.0635316,92.3702 /T,87.4801,31.894477,88.375424,3.6233804,n.a.,n.a.,6598800.0,3,2024,17,1.6587262153307563,1.5265837391874575e-05
1323,2024-02-25 03:00:00,164.68733333333333,9.627083333333333,-12.432,3.534,0.00271544280762,0.0036863,172.8603 /L,7.1204,29.620364,116.92677,0.2229276,n.a.,n.a.,4762800.0,2,2024,25,0.30692554483151935,4.303720849193086e-05
2392,2024-04-09 16:00:00,29.768291666666666,13.819805555555556,-5.367,6.070,0.002421231755,0.0395384,12.6586 /T,167.3112,37.134842,64.807485,2.0779538,n.a.,n.a.,8611200.0,4,2024,9,2.6460552916944025,-2.9828222488512395e-05
1565,2024-03-06 05:00:00,290.22254166666664,-26.597444444444445,-8.764,5.834,0.00248056998218,-0.0678991,57.9785 /L,121.8998,35.187142,81.714776,-3.685281,n.a.,n.a.,5634000.0,3,2024,6,-1.9541092503317024,-7.249033702099502e-05
8453,2024-12-18 05:00:00,125.95929166666667,23.780694444444443,-11.804,4.180,0.00256488064737,0.0620615,143.5789 /L,36.3328,33.047658,106.22032,3.4709028,n.a.,n.a.,30430800.0,12,2024,18,1.0122569715190262,-7.770863054161123e-05
8353,2024-12-14 01:00:00,61.395916666666665,25.325055555555554,-12.374,3.791,0.00245164634495,0.0218316,161.5889 /T,18.3659,36.259211,76.729749,1.1694049,n.a.,n.a.,30070800.0,12,2024,14,2.130401419093559,-7.833964619562237e-05
6986,2024-10-18 02:00:00,30.365166666666667,14.92675,-12.645,3.592,0.00239476586699,0.023612,171.0640 /L,8.9149,37.951851,65.301249,1.2368743,n.a.,n.a.,25149600.0,10,2024,18,2.638652683993955,-5.754771865979034e-05
4783,2024-07-18 07:00:00,253.79408333333333,-26.75725,-11.619,4.331,0.00257245624985,-0.0620101,139.5587 /T,40.3472,32.834189,98.278266,-3.471337,n.a.,n.a.,17218800.0,7,2024,18,-1.3259196877668755,-4.6631496020274436e-05
